Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Charging Type,Seller Type,Date Listed,Month,Sales Volume,Source,Data Type
Mercedes,Mercedes EQB,2023,64021.7797087749,24465.0,New,Phnom Penh,Silver,66.5,419,168,8.0,GB-T/CCS2,Authorized Dealer,06-10-2024,10,,Synthetic (New Formula),Synthetic
BYD,BYD Han,2022,55717.95205331167,962.0,Good,Phnom Penh,Grey,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,10-09-2023,9,,Synthetic (New Formula),Synthetic
BYD,BYD Han,2024,62496.676967051884,1183.0,Excellent,Battambang,Blue,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,26-12-2021,12,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2023,45203.49276317722,16558.0,Good,Battambang,Red,66/87.5,435-570,190,6.2,GB-T/CCS2,Private,25-03-2023,3,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 6,2024,46047.90213011557,37653.0,Like New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,GB-T/CCS2,Authorized Dealer,07-02-2024,2,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2023,23201.297603516894,39558.0,New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,04-01-2023,1,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2025,13144.507485352653,19038.0,Like New,Phnom Penh,Pearl White,41.3,403,80,,GB-T/CCS2,Dealer,01-05-2022,5,,Synthetic (New Formula),Synthetic
BMW,BMW iX1,2025,57408.153807832074,0.0,Like New,Phnom Penh,Black,64.7,417,150,8.6,GB-T/CCS2,Authorized Dealer,23-08-2022,8,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 001,2022,69756.2965981547,10320.0,New,Phnom Penh,Blue,86/100,560-620,200,3.3,GB-T/CCS2,Dealer,16-10-2024,10,,Synthetic (New Formula),Synthetic
BYD,BYD Tang,2023,57242.71995270023,7511.0,New,Sihanoukville,White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Dealer,11-06-2020,6,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2024,29052.83257210508,20658.0,Excellent,Phnom Penh,White,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Authorized Dealer,23-02-2024,2,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2023,56570.89633400829,16338.0,Excellent,Phnom Penh,Blue,60/75/82,430-600,220,6.9,GB-T/CCS2,Authorized Dealer,19-02-2022,2,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2023,29200.591617658243,0.0,New,Phnom Penh,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,17-09-2022,9,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2023,24894.22644135156,23712.0,New,Siem Reap,Silver,51/64/77,350-520,125,7.7,GB-T/CCS2,Dealer,15-07-2023,7,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 7,2022,35848.330640026026,40327.0,New,Siem Reap,Green,71.8/91.3,460-567,230,4.5,GB-T/CCS2,Authorized Dealer,25-09-2024,9,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2024,34986.12769848192,25152.0,Like New,Phnom Penh,White,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Private,21-04-2024,4,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2022,24186.213491603776,28560.0,Like New,Kampong Cham,White,59.6,399,110,,GB-T/CCS2,Dealer,17-05-2024,5,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2024,13272.924561494563,33292.0,New,Battambang,White,41.3,403,80,,GB-T/CCS2,Authorized Dealer,10-01-2024,1,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2024,66320.89141503045,29896.0,Like New,Phnom Penh,White,123,438,300,6.5,GB-T/CCS2,Private,11-01-2024,1,,Synthetic (New Formula),Synthetic
Kia,Kia EV9,2025,77128.31980973305,2346.0,New,Phnom Penh,White,99.8,541,283,5.3,GB-T/CCS2,Authorized Dealer,22-08-2025,8,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2022,22280.373956632393,3760.0,New,Sihanoukville,Silver,59.6,399,110,,GB-T/CCS2,Dealer,04-12-2022,12,,Synthetic (New Formula),Synthetic
Deepal,Deepal S07,2025,51837.080448371955,19152.0,New,Phnom Penh,White,31.6/80,200 PHEV,190,6.7,GB-T/CCS2,Dealer,24-09-2024,9,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2022,39230.37716639968,37398.0,New,Kampong Cham,White,60/82,430-576,208,6.1,GB-T/CCS2,Private,05-08-2021,8,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2025,25818.288785241923,38988.0,Excellent,Siem Reap,Grey,59.6,399,110,,GB-T/CCS2,Private,03-02-2025,2,,Synthetic (New Formula),Synthetic
MG,MG 5,2023,21894.74595313044,16928.0,Excellent,Phnom Penh,Black,61.1,403,130,7.7,GB-T/CCS2,Private,18-06-2020,6,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2024,44066.83979159838,10710.0,New,Battambang,Red,66/87.5,435-570,190,6.2,GB-T/CCS2,Private,25-03-2023,3,,Synthetic (New Formula),Synthetic
Avatr,Avatr 12,2023,63067.17979303976,4060.0,Like New,Phnom Penh,Silver,94.5,650,230,3.9,GB-T/CCS2,Dealer,14-07-2025,7,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2025,20089.55135302128,24465.0,Excellent,Battambang,Orange,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-04-2025,4,,Synthetic (New Formula),Synthetic
Deepal,Deepal L07,2024,46339.286394194445,8272.0,Good,Kratie,Black,31.6,200 PHEV,160,7.3,GB-T/CCS2,Authorized Dealer,05-05-2025,5,,Synthetic (New Formula),Synthetic
Kia,Kia EV9,2023,75861.13019249389,4164.0,Excellent,Phnom Penh,Silver,99.8,541,283,5.3,GB-T/CCS2,Private,26-02-2024,2,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2022,53286.81753550892,20102.0,New,Kampong Cham,Grey,40,200 PHEV,330,4.8,GB-T/CCS2,Dealer,20-08-2022,8,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2023,53585.59373769313,14729.0,New,Phnom Penh,White,60/75/82,430-600,220,6.9,GB-T/CCS2,Authorized Dealer,14-08-2024,8,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 7,2025,41398.36935242597,0.0,Good,Phnom Penh,Blue,71.8/91.3,460-567,230,4.5,GB-T/CCS2,Authorized Dealer,11-08-2025,8,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2023,18378.44973614354,28210.0,Like New,Phnom Penh,Silver,30/38.88,190-305,55,,GB-T/CCS2,Dealer,14-11-2024,11,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2025,25818.288785241923,43475.0,Like New,Phnom Penh,Silver,59.6,399,110,,GB-T/CCS2,Private,05-02-2024,2,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2025,50468.79640638217,36372.0,New,Phnom Penh,Black,77.4,484,168,7.1,GB-T/CCS2,Authorized Dealer,03-04-2024,4,,Synthetic (New Formula),Synthetic
MG,MG 5,2024,21411.53710893627,25885.0,Like New,Phnom Penh,Grey,61.1,403,130,7.7,GB-T/CCS2,Dealer,05-01-2022,1,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2025,46138.602687519866,4152.0,New,Phnom Penh,Blue,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Private,26-03-2024,3,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2023,19630.99381934456,962.0,Excellent,Phnom Penh,Silver,30/38.88,190-305,55,,GB-T/CCS2,Dealer,18-08-2024,8,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2021,25830.842640472878,44820.0,New,Siem Reap,Silver,40/62,240-385,110,7.0,GB-T/CCS2,Authorized Dealer,13-08-2024,8,,Synthetic (New Formula),Synthetic
BYD,BYD Seal 5,2022,19195.238137697066,5226.0,New,Phnom Penh,Grey,15.8,80 PHEV,110,7.9,GB-T/CCS2,Private,03-08-2024,8,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2023,18676.855776440036,30082.0,Like New,Battambang,Orange,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-04-2025,4,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2022,27570.535568893138,25048.0,New,Phnom Penh,White,40/62,240-385,110,7.0,GB-T/CCS2,Dealer,26-08-2020,8,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2024,59545.97085296482,0.0,New,Phnom Penh,Grey,60/75/82,430-600,220,6.9,GB-T/CCS2,Private,28-02-2024,2,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2025,29131.107499915033,35178.0,Like New,Koh Kong,White,40/62,240-385,110,7.0,GB-T/CCS2,Authorized Dealer,25-01-2025,1,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2024,43444.22128550728,30740.0,Excellent,Phnom Penh,Silver,82/87.5,420-500,150,5.5,GB-T/CCS2,Private,12-08-2025,8,,Synthetic (New Formula),Synthetic
BYD,BYD Seal 5,2022,19664.31986300092,44680.0,Like New,Phnom Penh,Blue,15.8,80 PHEV,110,7.9,GB-T/CCS2,Private,28-11-2024,11,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2024,26233.77841259206,928.0,New,Sihanoukville,Silver,59.6,399,110,,GB-T/CCS2,Dealer,04-12-2022,12,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2023,25601.949012266585,4895.0,Fair,Siem Reap,White,42.8,301,120,8.5,GB-T/CCS2,Dealer,22-10-2024,10,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2023,19195.031564940007,39100.0,Excellent,Battambang,Orange,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-04-2025,4,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2022,18829.402800691867,5610.0,New,Battambang,Orange,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-04-2025,4,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 6,2024,55740.70850272468,0.0,New,Phnom Penh,White,53/77.4,429-614,151,8.1,GB-T/CCS2,Dealer,03-05-2023,5,,Synthetic (New Formula),Synthetic
Kia,Kia EV9,2025,77128.31980973305,25146.0,Good,Koh Kong,Silver,99.8,541,283,5.3,GB-T/CCS2,Authorized Dealer,07-05-2024,5,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2024,58988.59965226706,12446.0,Like New,Phnom Penh,Blue,60/75/82,430-600,220,6.9,GB-T/CCS2,Authorized Dealer,19-02-2022,2,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2024,28417.873437273433,9016.0,New,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Dealer,21-10-2024,10,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2022,36810.468025247945,0.0,Like New,Siem Reap,White,82/87.5,420-500,150,5.5,GB-T/CCS2,Private,21-07-2022,7,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2024,25248.58644605239,35800.0,Like New,Kep,Silver,51/64/77,350-520,125,7.7,GB-T/CCS2,Dealer,27-08-2025,8,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2022,32522.643402390226,19566.0,Like New,Sihanoukville,Grey,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Private,18-02-2025,2,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2022,57716.32715151652,11984.0,Good,Phnom Penh,White,123,438,300,6.5,GB-T/CCS2,Authorized Dealer,11-02-2023,2,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2022,23691.12255692583,4836.0,Good,Phnom Penh,Black,42.8,301,120,8.5,GB-T/CCS2,Authorized Dealer,26-05-2025,5,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2025,26578.153517984432,1100.0,Excellent,Phnom Penh,Black,42.8,301,120,8.5,GB-T/CCS2,Authorized Dealer,26-05-2025,5,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2023,60335.60286689049,25564.0,Good,Battambang,Black,123,438,300,6.5,GB-T/CCS2,Private,25-08-2025,8,,Synthetic (New Formula),Synthetic
AION,AION V,2024,37513.076489518455,23914.0,Excellent,Phnom Penh,Black,68.8/80,480-610,165,7.1,GB-T/CCS2,Private,15-02-2025,2,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2023,42537.67323034502,1185.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,GB-T/CCS2,Private,13-07-2024,7,,Synthetic (New Formula),Synthetic
MG,MG 5,2023,20471.248665610747,24075.0,Excellent,Phnom Penh,Black,61.1,403,130,7.7,GB-T/CCS2,Private,18-06-2020,6,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2021,57110.57100109587,8325.0,Like New,Phnom Penh,Silver,123,438,300,6.5,GB-T/CCS2,Private,16-11-2023,11,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2021,37320.59472163528,8400.0,Excellent,Sihanoukville,Green,60/82,430-576,208,6.1,GB-T/CCS2,Dealer,25-09-2020,9,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 001,2025,73825.74726096146,8760.0,Good,Phnom Penh,Black,86/100,560-620,200,3.3,GB-T/CCS2,Authorized Dealer,03-10-2025,10,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2022,26813.06082689496,4740.0,New,Phnom Penh,Black,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,12-07-2023,7,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2025,27997.556212744083,26505.0,New,Kratie,Red,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Dealer,10-12-2020,12,,Synthetic (New Formula),Synthetic
AION,AION V,2022,36855.909494827676,32800.0,New,Phnom Penh,Black,68.8/80,480-610,165,7.1,GB-T/CCS2,Private,15-02-2025,2,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2022,18470.297895006144,1185.0,Excellent,Preah Vihear,White,30/38.88,190-305,55,,GB-T/CCS2,Private,17-03-2023,3,,Synthetic (New Formula),Synthetic
Deepal,Deepal L07,2023,42192.39137810711,10030.0,New,Battambang,White,31.6,200 PHEV,160,7.3,GB-T/CCS2,Dealer,16-12-2024,12,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr X,2023,53283.80782798188,22770.0,Fair,Kep,Cosmos Black,66,440,200,5.6,GB-T/CCS2,Private,04-02-2024,2,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2023,52817.859503203785,0.0,New,Phnom Penh,Silver,40,200 PHEV,330,4.8,GB-T/CCS2,Private,16-05-2022,5,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2024,65805.80988573129,26535.0,Like New,Battambang,Black,123,438,300,6.5,GB-T/CCS2,Private,25-08-2025,8,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 007,2023,64112.60412876927,0.0,Excellent,Phnom Penh,Red,75/100,530-688,310,3.5,GB-T/CCS2,Private,03-02-2025,2,,Synthetic (New Formula),Synthetic
AION,AION ES,2025,30948.87938735971,55154.0,New,Phnom Penh,White,55.6,410,150,7.5,GB-T/CCS2,Authorized Dealer,02-05-2025,5,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2025,36233.02921054685,0.0,Excellent,Siem Reap,Black,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Dealer,18-09-2022,9,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2025,66328.60789357634,0.0,Like New,Phnom Penh,Silver,123,438,300,6.5,GB-T/CCS2,Private,16-11-2023,11,,Synthetic (New Formula),Synthetic
Kia,Kia EV9,2023,71323.89201252286,59940.0,Good,Phnom Penh,Black,99.8,541,283,5.3,GB-T/CCS2,Private,09-06-2023,6,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2025,45899.66508305761,52560.0,New,Battambang,Green,66/87.5,435-570,190,6.2,GB-T/CCS2,Authorized Dealer,15-12-2023,12,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 6,2023,49268.96042655761,12987.0,Fair,Phnom Penh,Grey,53/77.4,429-614,151,8.1,GB-T/CCS2,Authorized Dealer,17-10-2024,10,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2021,48645.296589926686,42883.0,New,Phnom Penh,Grey,60/75/82,430-600,220,6.9,GB-T/CCS2,Private,28-02-2024,2,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2025,45899.66508305761,8020.0,New,Kampot,Red,66/87.5,435-570,190,6.2,GB-T/CCS2,Private,03-01-2024,1,,Synthetic (New Formula),Synthetic
BYD,BYD Han,2022,52702.549828476,9536.0,Excellent,Phnom Penh,Orange,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,09-09-2021,9,,Synthetic (New Formula),Synthetic
BYD,BYD Seal 5,2024,21169.15781836097,9900.0,Excellent,Preah Vihear,White,15.8,80 PHEV,110,7.9,GB-T/CCS2,Authorized Dealer,01-05-2024,5,,Synthetic (New Formula),Synthetic
Kia,Kia EV5,2023,33652.51666334982,11984.0,Fair,Phnom Penh,Black,64.2/88,400-600,160,7.5,GB-T/CCS2,Authorized Dealer,08-09-2023,9,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2024,26100.089672048394,0.0,Good,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,21-05-2022,5,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 9,2025,66328.60789357634,43563.0,New,Kampong Cham,Silver,123,438,300,6.5,GB-T/CCS2,Private,06-10-2024,10,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2022,55789.705643674366,0.0,Like New,Phnom Penh,Silver,60/75/82,430-600,220,6.9,GB-T/CCS2,Authorized Dealer,10-10-2023,10,,Synthetic (New Formula),Synthetic
Avatr,Avatr 11,2022,61760.735734809336,12844.0,New,Siem Reap,Red,90/116,555-700,230,3.9,GB-T/CCS2,Private,04-04-2024,4,,Synthetic (New Formula),Synthetic
Denza,Denza D9,2025,82016.74640140159,25048.0,Like New,Phnom Penh,Black,103,600,230,6.9,GB-T/CCS2,Authorized Dealer,06-07-2022,7,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2025,25818.288785241923,19362.0,New,Phnom Penh,Grey,59.6,399,110,,GB-T/CCS2,Private,16-09-2023,9,,Synthetic (New Formula),Synthetic
Xiaomi,Xiaomi SU7,2023,69963.33793426811,11820.0,Like New,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,GB-T/CCS2,Dealer,03-12-2024,12,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 001,2023,70546.22412178067,26625.0,Like New,Sihanoukville,Blue,86/100,560-620,200,3.3,GB-T/CCS2,Private,11-08-2023,8,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2025,46138.602687519866,17388.0,Like New,Phnom Penh,Cosmos Black,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Dealer,02-06-2024,6,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2020,9934.859933017422,1846.0,Fair,Phnom Penh,Red,41.3,403,80,,GB-T/CCS2,Dealer,05-08-2025,8,,Synthetic (New Formula),Synthetic
Kia,Kia EV5,2023,33013.25018258484,26280.0,Like New,Phnom Penh,Black,64.2/88,400-600,160,7.5,GB-T/CCS2,Authorized Dealer,08-09-2023,9,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2023,54352.49012623134,20286.0,New,Phnom Penh,Grey,60/75/82,430-600,220,6.9,GB-T/CCS2,Private,28-02-2024,2,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 001,2021,65773.12374956581,15521.0,New,Phnom Penh,White,86/100,560-620,200,3.3,GB-T/CCS2,Dealer,15-02-2023,2,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2024,26423.403705194047,13395.0,Fair,Phnom Penh,Silver,42.8,301,120,8.5,GB-T/CCS2,Dealer,16-08-2025,8,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2024,45004.57554962274,5110.0,New,Preah Vihear,Blue,82/87.5,420-500,150,5.5,GB-T/CCS2,Private,09-04-2022,4,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2025,58902.624930395585,43650.0,Like New,Siem Reap,White,60/75/82,430-600,220,6.9,GB-T/CCS2,Private,09-07-2023,7,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2024,20980.017985203074,43440.0,New,Phnom Penh,Silver,30/38.88,190-305,55,,GB-T/CCS2,Dealer,18-08-2024,8,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2024,45181.41358283865,19362.0,Like New,Kampong Cham,Blue,58/72.6,354-488,125,7.4,GB-T/CCS2,Private,08-10-2023,10,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2025,46028.66909827858,22512.0,New,Sihanoukville,Black,60/82,430-576,208,6.1,GB-T/CCS2,Authorized Dealer,27-11-2021,11,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2023,41783.27750971814,41667.0,New,Preah Vihear,Black,71.4,500,150,7.1,GB-T/CCS2,Dealer,01-05-2025,5,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2025,50468.79640638217,1112.0,New,Phnom Penh,Grey,77.4,484,168,7.1,GB-T/CCS2,Authorized Dealer,19-03-2022,3,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 6,2024,25239.48054125632,0.0,Excellent,Sihanoukville,White,59.6,399,110,,GB-T/CCS2,Private,18-03-2023,3,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2025,46028.66909827858,7980.0,New,Phnom Penh,White,60/82,430-576,208,6.1,GB-T/CCS2,Private,09-12-2020,12,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2024,26009.27108842384,41667.0,Excellent,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,21-05-2022,5,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2023,42423.13624313668,6114.0,Like New,Battambang,Green,66/87.5,435-570,190,6.2,GB-T/CCS2,Authorized Dealer,15-12-2023,12,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2022,52945.249901201285,975.0,Like New,Phnom Penh,White,40,200 PHEV,330,4.8,GB-T/CCS2,Private,07-01-2024,1,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2024,25076.370474721618,35178.0,Excellent,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,28-07-2023,7,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2025,45971.59936465735,4995.0,Like New,Preah Vihear,Blue,71.4,500,150,7.1,GB-T/CCS2,Authorized Dealer,11-12-2022,12,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 7,2024,39374.387429861396,39865.0,Like New,Siem Reap,Green,71.8/91.3,460-567,230,4.5,GB-T/CCS2,Authorized Dealer,25-09-2024,9,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2025,46028.66909827858,46942.0,Good,Phnom Penh,White,60/82,430-576,208,6.1,GB-T/CCS2,Authorized Dealer,28-04-2025,4,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2022,25260.027073295583,21489.0,Good,Battambang,Black,40/62,240-385,110,7.0,GB-T/CCS2,Private,26-02-2022,2,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2023,40480.44284258881,944.0,New,Phnom Penh,Grey,58/72.6,354-488,125,7.4,GB-T/CCS2,Authorized Dealer,03-12-2021,12,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2024,45446.61267083658,38988.0,Excellent,Kep,Black,58/72.6,354-488,125,7.4,GB-T/CCS2,Private,13-09-2025,9,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2022,50156.37188698941,960.0,Like New,Phnom Penh,White,60/75/82,430-600,220,6.9,GB-T/CCS2,Dealer,16-11-2024,11,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2021,38820.428188512786,16282.0,Excellent,Kep,Cosmos Black,40,200 PHEV,200,4.8,GB-T/CCS2,Dealer,10-12-2022,12,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2022,39300.88706238098,55944.0,Excellent,Phnom Penh,White,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Private,23-08-2025,8,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2022,27470.1426281426,5535.0,Like New,Phnom Penh,Black,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,12-07-2023,7,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2025,25258.522554513802,0.0,New,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,03-05-2025,5,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2024,20888.060730619003,0.0,New,Phnom Penh,Grey,30/38.88,190-305,55,,GB-T/CCS2,Authorized Dealer,12-09-2023,9,,Synthetic (New Formula),Synthetic
BYD,BYD Tang,2023,62942.417505285186,5110.0,Like New,Battambang,White,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Private,10-04-2025,4,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2023,43235.97632979265,10320.0,Excellent,Phnom Penh,Grey,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Dealer,26-05-2025,5,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2023,24404.045173702372,18649.0,Excellent,Sihanoukville,Black,42.8,301,120,8.5,GB-T/CCS2,Private,03-02-2025,2,,Synthetic (New Formula),Synthetic
Deepal,Deepal L07,2024,44371.10575695333,45068.0,New,Phnom Penh,White,31.6,200 PHEV,160,7.3,GB-T/CCS2,Dealer,26-08-2025,8,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2021,38556.07235257843,19343.0,Excellent,Phnom Penh,White,71.4,500,150,7.1,GB-T/CCS2,Authorized Dealer,22-10-2024,10,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr X,2023,50358.675966599425,43563.0,New,Kampong Cham,Black,66,440,200,5.6,GB-T/CCS2,Authorized Dealer,07-01-2025,1,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2023,41458.34933350868,0.0,Like New,Kep,Black,58/72.6,354-488,125,7.4,GB-T/CCS2,Private,13-09-2025,9,,Synthetic (New Formula),Synthetic
Mercedes,Mercedes EQB,2023,59458.20569945585,18202.0,Excellent,Sihanoukville,Red,66.5,419,168,8.0,GB-T/CCS2,Dealer,26-07-2024,7,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 6,2023,43422.91685579194,37296.0,Like New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,GB-T/CCS2,Authorized Dealer,07-02-2024,2,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2023,57321.86050383524,10881.0,New,Siem Reap,White,40,200 PHEV,330,4.8,GB-T/CCS2,Private,11-01-2023,1,,Synthetic (New Formula),Synthetic
BMW,BMW iX1,2020,45379.08807700334,33139.0,Excellent,Phnom Penh,Silver,64.7,417,150,8.6,GB-T/CCS2,Private,07-04-2022,4,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2024,20393.075645826953,4995.0,Like New,Battambang,Black,30/38.88,190-305,55,,GB-T/CCS2,Authorized Dealer,14-01-2025,1,,Synthetic (New Formula),Synthetic
